Time,Seconds,Iterations,Seed,Objective function value,Type of neighborhood,Tabu list length,T_min,Number of tools
2018-01-07 00:12:50,6498,1000000,,7790.02440175,2,500,3,6
2018-01-07 01:09:43,644,100000,,8301.25815682,2,500,3,6
2018-01-07 01:09:54,668,100000,,8805.39543783,2,500,3,6
2018-01-07 01:14:08,488,100000,,8524.86023625,2,500,3,6
01/07/18 01:36 AM,638,100000,,5804,1,300,3,2
01/07/18 01:48 AM,1304,100000,,4539,1,1500,3,1
2018-01-07 11:37:43,6425,1000000,,4831.10585199,1,100,3,1
2018-01-07 13:30:11,15300,1000000,4444,4517.72860707,1,1000,3,1
2018-01-07 15:05:26,1138,77326,4444,4517.72860707,1,1000,3,1
2018-01-07 15:46:27,431,31841,,4170.72981428,1,1000,3,4
2018-01-07 15:47:57,551,40638,4444,2682.34276631,1,1000,3,1
2018-01-07 16:54:33,329,50638,4444,2695.93655199,1,1000,3,1
2018-01-07 18:19:33,30511,1000000,,4446.55371298,1,3000,3,1
2018-01-07 21:13:43,418,148539,5364,5057.02937803,1,10,3,1
2018-01-07 21:14:59,485,148078,5364,5057.02937803,1,100,3,1
2018-01-07 21:27:15,1209,145254,5364,5057.02937803,1,1000,3,1
2018-01-07 23:45:16,1106,172698,5364,5626.95439444,1,1000,3,1
